primary_description,_source_sheet,_source_row_number,Name/Desc of Feature/Bug/Idea/Wish List Item,Related Feature/Section/Category,Source Document Name: Section/Topic,High-Level Category,Source Document Name & Date: Section/Topic,Source Documen & Section/Topic,Source Document & Section/Topic/Slide,Source Document & Section,Scope,Priority,Status,Category,Source,Name/Desc,Item / Description,Source (Date/Document),Name/Description,Related Feature/Section,User/Project Management,Item / Feature / Idea / Bug,Source Context/Date,Item/Feature,Description/Status/Notes,Source Context,Feature/Bug/Idea/Wish List Item,Source Document(s)
Exporting data & updating the offline guide,Panama trip docs slidedeck,16,Exporting data & updating the offline guide,Data Processing & Review (Task),,,,,Panama trip docs: Data processing & review overview,,,,,,,,,,,,,,,,,,,
Charge batteries,Panama trip docs slidedeck,17,Charge batteries,Hardware Preparation (Task),,,,,Panama trip docs: Prepare for next night,,,,,,,,,,,,,,,,,,,
Fresh SD cards,Panama trip docs slidedeck,18,Fresh SD cards,Hardware Preparation (Task),,,,,Panama trip docs: Prepare for next night,,,,,,,,,,,,,,,,,,,
"Ask Chris for list of any, all categories of interest",Panama trip docs slidedeck,19,"Ask Chris for list of any, all categories of interest",Features/Bugs/TODOs (Task),,,,,"Panama trip docs: Features, bugs & TODOs",,,,,,,,,,,,,,,,,,,
Default filter: lepidoptera,Panama trip docs slidedeck,20,Default filter: lepidoptera,Features/Bugs/TODOs (Filtering),,,,,"Panama trip docs: Features, bugs & TODOs",,,,,,,,,,,,,,,,,,,
Show best detection image in taxa view & occurrence view,Panama trip docs slidedeck,21,Show best detection image in taxa view & occurrence view,Features/Bugs/TODOs (UI/Data Display),,,,,"Panama trip docs: Features, bugs & TODOs",,,,,,,,,,,,,,,,,,,
Hide occurrences if missing detections,Panama trip docs slidedeck,22,Hide occurrences if missing detections,Features/Bugs/TODOs (Data Display),,,,,"Panama trip docs: Features, bugs & TODOs",,,,,,,,,,,,,,,,,,,
Missing Not Identifiable class in OOD environment,Panama trip docs slidedeck,23,Missing Not Identifiable class in OOD environment,Features/Bugs/TODOs (Bug),,,,,"Panama trip docs: Features, bugs & TODOs",,,,,,,,,,,,,,,,,,,
Size filter,Panama trip docs slidedeck,24,Size filter,Features/Bugs/TODOs (Filtering),,,,,"Panama trip docs: Features, bugs & TODOs",,,,,,,,,,,,,,,,,,,
"Add column for best_identification to the occurrences view (optional, next to Taxon Determination column",Panama trip docs slidedeck,25,"Add column for best_identification to the occurrences view (optional, next to Taxon Determination column",Features/Bugs/TODOs (UI/Data Display),,,,,"Panama trip docs: Features, bugs & TODOs",,,,,,,,,,,,,,,,,,,
Fix missing sessions on occurrences - can we ensure sessions are grouped before processing,Panama trip docs slidedeck,26,Fix missing sessions on occurrences - can we ensure sessions are grouped before processing,Features/Bugs/TODOs (Bug/Data Processing),,,,,"Panama trip docs: Features, bugs & TODOs",,,,,,,,,,,,,,,,,,,
Project ID required when changing name/tags of cluster,Panama trip docs slidedeck,27,Project ID required when changing name/tags of cluster,Features/Bugs/TODOs (Bug/Data Management),,,,,"Panama trip docs: Features, bugs & TODOs",,,,,,,,,,,,,,,,,,,
Increase capacity of the database in the OOD environment,Panama trip docs slidedeck,28,Increase capacity of the database in the OOD environment,Features/Bugs/TODOs (Infrastructure),,,,,"Panama trip docs: Features, bugs & TODOs",,,,,,,,,,,,,,,,,,,
"How can we highlight anomalies in the capture images (out of schedule, short schedule, strange dates, mixed resolution images)",Panama trip docs slidedeck,29,"How can we highlight anomalies in the capture images (out of schedule, short schedule, strange dates, mixed resolution images)",Features/Bugs/TODOs (Data Quality/Monitoring),,,,,"Panama trip docs: Features, bugs & TODOs",,,,,,,,,,,,,,,,,,,
Remove “null” that keeps returning to data sync view,Panama trip docs slidedeck,30,Remove “null” that keeps returning to data sync view,Features/Bugs/TODOs (Bug/UI),,,,,"Panama trip docs: Features, bugs & TODOs",,,,,,,,,,,,,,,,,,,
Add cryptic species status to the taxonomy database: Euceron species should always be determined to genus level,Panama trip docs slidedeck,31,Add cryptic species status to the taxonomy database: Euceron species should always be determined to genus level,Features/Bugs/TODOs (Taxonomy/Data Management),,,,,"Panama trip docs: Features, bugs & TODOs",,,,,,,,,,,,,,,,,,,
The modal window for taxon should keep on the occurrences / other context instead of sending back to taxa list,Panama trip docs slidedeck,32,The modal window for taxon should keep on the occurrences / other context instead of sending back to taxa list,Features/Bugs/TODOs (UI/Navigation),,,,,"Panama trip docs: Features, bugs & TODOs",,,,,,,,,,,,,,,,,,,
Filter/search by previous identifications,Panama trip docs slidedeck,33,Filter/search by previous identifications,Features/Bugs/TODOs (Filtering),,,,,"Panama trip docs: Features, bugs & TODOs",,,,,,,,,,,,,,,,,,,
Link to filter taxa by parent (from taxa detail view)?,Panama trip docs slidedeck,34,Link to filter taxa by parent (from taxa detail view)?,Features/Bugs/TODOs (UI/Navigation),,,,,"Panama trip docs: Features, bugs & TODOs",,,,,,,,,,,,,,,,,,,
Add verification features to gallery view,Panama trip docs slidedeck,35,Add verification features to gallery view,Features/Bugs/TODOs (UI/Review),,,,,"Panama trip docs: Features, bugs & TODOs",,,,,,,,,,,,,,,,,,,
Add size fields to taxonomy database (fallback to parent size category). Avg.,Panama trip docs slidedeck,36,Add size fields to taxonomy database (fallback to parent size category). Avg.,Features/Bugs/TODOs (Taxonomy/Data Management),,,,,"Panama trip docs: Features, bugs & TODOs",,,,,,,,,,,,,,,,,,,
Add is_cryptic field (to what rank),Panama trip docs slidedeck,37,Add is_cryptic field (to what rank),Features/Bugs/TODOs (Taxonomy/Data Management),,,,,"Panama trip docs: Features, bugs & TODOs",,,,,,,,,,,,,,,,,,,
Script to fix date offsets,Panama trip docs slidedeck,38,Script to fix date offsets,Features/Bugs/TODOs (Data Processing/Tooling),,,,,"Panama trip docs: Features, bugs & TODOs",,,,,,,,,,,,,,,,,,,
"Size estimator with annotations (from normal photos, verified in Bold, iNat",Panama trip docs slidedeck,39,"Size estimator with annotations (from normal photos, verified in Bold, iNat",Features/Bugs/TODOs (Tooling),,,,,"Panama trip docs: Features, bugs & TODOs",,,,,,,,,,,,,,,,,,,
Make taxa detail page,Panama trip docs slidedeck,40,Make taxa detail page,Features/Bugs/TODOs (UI/Data Display),,,,,"Panama trip docs: Features, bugs & TODOs",,,,,,,,,,,,,,,,,,,
Change 'Captures per hour' to 'Average captures per hour per night',Joe call notes,1,Change 'Captures per hour' to 'Average captures per hour per night',Update current stats/Charts,,,,,,Michael / Joe call notes: Update current stats,,,,,,,,,,,,,,,,,,
Currently 'Captures per hour' is total cumulative captures from all nights on a given night,Joe call notes,2,Currently 'Captures per hour' is total cumulative captures from all nights on a given night,Update current stats/Charts,,,,,,Michael / Joe call notes: Update current stats,,,,,,,,,,,,,,,,,,
Change 'Detections per hour' to 'Detections per hour per night on average',Joe call notes,3,Change 'Detections per hour' to 'Detections per hour per night on average',Update current stats/Charts,,,,,,Michael / Joe call notes: Update current stats,,,,,,,,,,,,,,,,,,
Add same charts (Average captures/detections per hour per night) but filtered by one specific species,Joe call notes,4,Add same charts (Average captures/detections per hour per night) but filtered by one specific species,Charts/Filtering,,,,,,Michael / Joe call notes: And then add,,,,,,,,,,,,,,,,,,
Add multiple lines to compare multiple species (compare flight times) on charts,Joe call notes,5,Add multiple lines to compare multiple species (compare flight times) on charts,Charts/Filtering,,,,,,Michael / Joe call notes: And then add,,,,,,,,,,,,,,,,,,
Be able to select any higher taxon group for filtering charts,Joe call notes,6,Be able to select any higher taxon group for filtering charts,Charts/Filtering,,,,,,Michael / Joe call notes: And then add,,,,,,,,,,,,,,,,,,
Filter charts by a given year - to view whole season (Seasonal flight over the year),Joe call notes,7,Filter charts by a given year - to view whole season (Seasonal flight over the year),Charts/Filtering,,,,,,Michael / Joe call notes: And then add,,,,,,,,,,,,,,,,,,
X-axis for Seasonal flight charts should use dates,Joe call notes,8,X-axis for Seasonal flight charts should use dates,Charts,,,,,,Michael / Joe call notes: And then add,,,,,,,,,,,,,,,,,,
Address caveat: dynamic charts only show what is processed (but make it look like everything is processed),Joe call notes,9,Address caveat: dynamic charts only show what is processed (but make it look like everything is processed),Data Display/Charts,,,,,,Michael / Joe call notes: BUT caveat: what data is processed?,,,,,,,,,,,,,,,,,,
Training new regional models for improving results for regional species,Joe call notes,10,Training new regional models for improving results for regional species,Improving results,,,,,,Michael / Joe call notes: Options for Improving results for regional species,,,,,,,,,,,,,,,,,,
Geofencing using species list for improving results,Joe call notes,11,Geofencing using species list for improving results,Improving results,,,,,,Michael / Joe call notes: Options for Improving results for regional species,,,,,,,,,,,,,,,,,,
LORA adapter that is trained on a small amount of data and appended at inference time for improving results,Joe call notes,12,LORA adapter that is trained on a small amount of data and appended at inference time for improving results,Improving results,,,,,,Michael / Joe call notes: Options for Improving results for regional species,,,,,,,,,,,,,,,,,,
Expose more features for user to manage species list and view charts (MVP for March),Joe call notes,13,Expose more features for user to manage species list and view charts (MVP for March),Species Management/Charts,,,,,,Michael / Joe call notes: CNR Project / MVP for March,,,,,,,,,,,,,,,,,,
Features for 'Species watch list' / 'species of concern' (economic concern),Joe call notes,14,Features for 'Species watch list' / 'species of concern' (economic concern),Species Management,,,,,,Michael / Joe call notes: Features,,,,,,,,,,,,,,,,,,
Features for 'Species of conservation concern' / 'Species of risk',Joe call notes,15,Features for 'Species of conservation concern' / 'Species of risk',Species Management,,,,,,Michael / Joe call notes: Features,,,,,,,,,,,,,,,,,,
Features for 'Pest species',Joe call notes,16,Features for 'Pest species',Species Management,,,,,,Michael / Joe call notes: Features,,,,,,,,,,,,,,,,,,
Features for 'Non-native' species,Joe call notes,17,Features for 'Non-native' species,Species Management,,,,,,Michael / Joe call notes: Features,,,,,,,,,,,,,,,,,,
Features for 'Rare species',Joe call notes,18,Features for 'Rare species',Species Management,,,,,,Michael / Joe call notes: Features,,,,,,,,,,,,,,,,,,
Features for 'New species',Joe call notes,19,Features for 'New species',Species Management,,,,,,Michael / Joe call notes: Features,,,,,,,,,,,,,,,,,,
Ability to configure a species list,Joe call notes,20,Ability to configure a species list,Species Management,,,,,,Michael / Joe call notes: Features,,,,,,,,,,,,,,,,,,
Features for grouping & filtering species lists,Joe call notes,21,Features for grouping & filtering species lists,Species Management/Filtering,,,,,,Michael / Joe call notes: Features,,,,,,,,,,,,,,,,,,
Alerts feature,Joe call notes,22,Alerts feature,Alerts,,,,,,Michael / Joe call notes: Features,,,,,,,,,,,,,,,,,,
Default charts feature,Joe call notes,23,Default charts feature,Charts,,,,,,Michael / Joe call notes: Features,,,,,,,,,,,,,,,,,,
Some basic analysis built in to compare these species of interest,Joe call notes,24,Some basic analysis built in to compare these species of interest,Analysis,,,,,,Michael / Joe call notes: Features,,,,,,,,,,,,,,,,,,
Provisional lists of species (regional lists),Joe call notes,25,Provisional lists of species (regional lists),Species Management,,,,,,Michael / Joe call notes: Features,,,,,,,,,,,,,,,,,,
New model on Newfoundland species list (Current Quebec model is overestimating total number of species),Joe call notes,26,New model on Newfoundland species list (Current Quebec model is overestimating total number of species),Model/Data Quality,,,,,,Michael / Joe call notes: New model on Newfoundland species list,,,,,,,,,,,,,,,,,,
New filter: Show occurrences where there is any disagreement (between models or humans),Joe call notes,27,New filter: Show occurrences where there is any disagreement (between models or humans),Filtering/Data Review,,,,,,Michael / Joe call notes: New filter,,,,,,,,,,,,,,,,,,
Antenna features to 'Generate flight chart per species',Joe call notes,28,Antenna features to 'Generate flight chart per species',Charts,,,,,,Michael / Joe call notes: Antenna features,,,,,,,,,,,,,,,,,,
Antenna features to 'Generate compound flight chart per taxa list',Joe call notes,29,Antenna features to 'Generate compound flight chart per taxa list',Charts,,,,,,Michael / Joe call notes: Antenna features,,,,,,,,,,,,,,,,,,
Michael to assist with data exports for new paper,Joe call notes,30,Michael to assist with data exports for new paper,Data Export/Paper,,,,,,Michael / Joe call notes: New Paper / Michael,,,,,,,,,,,,,,,,,,
Michael to assist with analysis and charts for new paper,Joe call notes,31,Michael to assist with analysis and charts for new paper,Analysis/Charts/Paper,,,,,,Michael / Joe call notes: New Paper / Michael,,,,,,,,,,,,,,,,,,
Michael to assist with technical description of methods for new paper,Joe call notes,32,Michael to assist with technical description of methods for new paper,Documentation/Paper,,,,,,Michael / Joe call notes: New Paper / Michael,,,,,,,,,,,,,,,,,,
Metrics for scaling - how much human validation is necessary to trust the model,Ecdysis  Bug box conversation,1,Metrics for scaling - how much human validation is necessary to trust the model,Human Validation / Model Trust,,,,,,Bug Box / Ecdysis discussion,,,,,,,,,,,,,,,,,,
Option to use model consensus instead of top confidence score (consensus between global & regional model or versions of panama models),Ecdysis  Bug box conversation,2,Option to use model consensus instead of top confidence score (consensus between global & regional model or versions of panama models),Model Prediction / Ensemble,,,,,,Bug Box / Ecdysis discussion,,,,,,,,,,,,,,,,,,
Summary metrics - species richness. The accuracy of the species richness is 90% even when the classification accuracy is 60%.,Ecdysis  Bug box conversation,3,Summary metrics - species richness. The accuracy of the species richness is 90% even when the classification accuracy is 60%.,Data Metrics / Scaling,,,,,,Bug Box / Ecdysis discussion,,,,,,,,,,,,,,,,,,
How can we confidently scale these systems beyond what humans can do?,Ecdysis  Bug box conversation,4,How can we confidently scale these systems beyond what humans can do?,System Scaling / Confidence,,,,,,Bug Box / Ecdysis discussion,,,,,,,,,,,,,,,,,,
Model zoo for insects,Ecdysis  Bug box conversation,5,Model zoo for insects,Model Management / Catalog,,,,,,Bug Box / Ecdysis discussion,,,,,,,,,,,,,,,,,,
Is Antenna a model zoo? Or just an index of what registered & available,Ecdysis  Bug box conversation,6,Is Antenna a model zoo? Or just an index of what registered & available,Model Management / Catalog,,,,,,Bug Box / Ecdysis discussion,,,,,,,,,,,,,,,,,,
Experimenting with fine-grained classification,Ecdysis  Bug box conversation,7,Experimenting with fine-grained classification,Classification Detail,,,,,,Bug Box / Ecdysis discussion,,,,,,,,,,,,,,,,,,
Common challenges - two lists of classes: species that exist and species that you can identify visually from a top-down image.,Ecdysis  Bug box conversation,8,Common challenges - two lists of classes: species that exist and species that you can identify visually from a top-down image.,Classification Constraints,,,,,,Bug Box / Ecdysis discussion,,,,,,,,,,,,,,,,,,
Working on the “secret sauce” methods to improve results for insects - external stats,Ecdysis  Bug box conversation,9,Working on the “secret sauce” methods to improve results for insects - external stats,Model Improvement / Methods,,,,,,Bug Box / Ecdysis discussion,,,,,,,,,,,,,,,,,,
"Priors and adding statistical models (Logistic binning, Shannon entropy)",Ecdysis  Bug box conversation,10,"Priors and adding statistical models (Logistic binning, Shannon entropy)",Model Improvement / Methods,,,,,,Bug Box / Ecdysis discussion,,,,,,,,,,,,,,,,,,
"Filtering bad data (too small, too blurry)",Ecdysis  Bug box conversation,11,"Filtering bad data (too small, too blurry)",Data Pre-processing / Quality,,,,,,Bug Box / Ecdysis discussion,,,,,,,,,,,,,,,,,,
Tracking of individuals (deduplication),Ecdysis  Bug box conversation,12,Tracking of individuals (deduplication),Data Processing / Tracking,,,,,,Bug Box / Ecdysis discussion,,,,,,,,,,,,,,,,,,
Class masking to regional species checklists,Ecdysis  Bug box conversation,13,Class masking to regional species checklists,Prediction Refinement / Constraint,,,,,,Bug Box / Ecdysis discussion,,,,,,,,,,,,,,,,,,
Downgrading predictions to higher taxonomic ranks until confidence is satisfactory.,Ecdysis  Bug box conversation,14,Downgrading predictions to higher taxonomic ranks until confidence is satisfactory.,Prediction Refinement / Confidence,,,,,,Bug Box / Ecdysis discussion,,,,,,,,,,,,,,,,,,
Clustering,Ecdysis  Bug box conversation,15,Clustering,Data Processing / Analysis,,,,,,Bug Box / Ecdysis discussion,,,,,,,,,,,,,,,,,,
Species dataset made for image classification,Ecdysis  Bug box conversation,16,Species dataset made for image classification,Training Data / Dataset,,,,,,Bug Box / Ecdysis discussion,,,,,,,,,,,,,,,,,,
How can we make the data output more satisfactory?,Ecdysis  Bug box conversation,17,How can we make the data output more satisfactory?,Data Output / Presentation,,,,,,Bug Box / Ecdysis discussion,,,,,,,,,,,,,,,,,,
Is this any more efficient than traditional monitoring,Ecdysis  Bug box conversation,18,Is this any more efficient than traditional monitoring,System Efficiency / Comparison,,,,,,Bug Box / Ecdysis discussion,,,,,,,,,,,,,,,,,,
Do we really need a species level classifier? For which species? For which purposes?,Ecdysis  Bug box conversation,19,Do we really need a species level classifier? For which species? For which purposes?,Feature Necessity / Scope,,,,,,Bug Box / Ecdysis discussion,,,,,,,,,,,,,,,,,,
Getting anxious for something to be working & finished soon,Ecdysis  Bug box conversation,20,Getting anxious for something to be working & finished soon,General Project Status,,,,,,Bug Box / Ecdysis discussion,,,,,,,,,,,,,,,,,,
Sign up on the platform waitlist,Workflow gaps,1,Sign up on the platform waitlist,Account Creation,,,,,,Antenna workflow overview - Create an account,M,Medium,Works,,,,,,,,,,,,,,,
"Sign up as new user on the platform (Currently disabled, manually add new users)",Workflow gaps,2,"Sign up as new user on the platform (Currently disabled, manually add new users)",Account Creation,,,,,,Antenna workflow overview - Create an account,L,High,Requires admin support,,,,,,,,,,,,,,,
"Reset password when not logged in (Backend configuration is incomplete, maybe disable)",Workflow gaps,3,"Reset password when not logged in (Backend configuration is incomplete, maybe disable)",Login/Authentication,,,,,,Antenna workflow overview - Login,M,Low,Unstable,,,,,,,,,,,,,,,
"Create a project from scratch (Currently disabled for most users, soon enabled for all)",Workflow gaps,4,"Create a project from scratch (Currently disabled for most users, soon enabled for all)",Project Creation,,,,,,Antenna workflow overview - Create a project,XL,High,Partially implemented,,,,,,,,,,,,,,,
Configure members for a project (Anna and Mohamed is currently working on this),Workflow gaps,5,Configure members for a project (Anna and Mohamed is currently working on this),Project Configuration,,,,,,Antenna workflow overview - Create a project,M,Medium,Partially implemented,,,,,,,,,,,,,,,
Configure processing services for a project,Workflow gaps,6,Configure processing services for a project,Project Configuration,,,,,,Antenna workflow overview - Create a project,L,Medium,Needs documentation,,,,,,,,,,,,,,,
Configure pipelines for a project,Workflow gaps,7,Configure pipelines for a project,Project Configuration,,,,,,Antenna workflow overview - Create a project,L,Medium,Needs documentation,,,,,,,,,,,,,,,
Configure a storage for project,Workflow gaps,8,Configure a storage for project,Data Upload/Storage Configuration,,,,,,Antenna workflow overview - Upload data,L,Medium,Needs documentation,,,,,,,,,,,,,,,
Configure a data source for a station,Workflow gaps,9,Configure a data source for a station,Data Upload/Station Configuration,,,,,,Antenna workflow overview - Upload data,L,Medium,Needs documentation,,,,,,,,,,,,,,,
Upload data to the storage (desktop app) (Currently happens outside Antenna using tools like Cyberduck),Workflow gaps,10,Upload data to the storage (desktop app) (Currently happens outside Antenna using tools like Cyberduck),Data Upload,,,,,,Antenna workflow overview - Upload data,XL,High,Not implemented,,,,,,,,,,,,,,,
See what captures has been processed and not (Missing data about this),Workflow gaps,11,See what captures has been processed and not (Missing data about this),Pipeline/ML Job Status,,,,,,Antenna workflow overview - Run the uploaded data through the pipeline,L,Medium,Not implemented,,,,,,,,,,,,,,,
Setup a collection of captures,Workflow gaps,12,Setup a collection of captures,Pipeline/Data Preparation,,,,,,Antenna workflow overview - Run the uploaded data through the pipeline,L,Medium,Needs documentation,,,,,,,,,,,,,,,
"Run a ML job (Unstable, jobs stop, status not reflected correctly, crops not saved, not all captures processed)",Workflow gaps,13,"Run a ML job (Unstable, jobs stop, status not reflected correctly, crops not saved, not all captures processed)",Machine Learning Processing,,,,,,Antenna workflow overview - Run the uploaded data through the pipeline,L,High,Unstable,,,,,,,,,,,,,,,
Run an XL ML job (VISS project),Workflow gaps,14,Run an XL ML job (VISS project),Machine Learning Processing,,,,,,Antenna workflow overview - Run the uploaded data through the pipeline,XL,Medium,Not implemented,,,,,,,,,,,,,,,
"See results that are accurate enough (Improve filtering, post-processing, pre-configurations)",Workflow gaps,15,"See results that are accurate enough (Improve filtering, post-processing, pre-configurations)",Data Exploration/Quality,,,,,,Antenna workflow overview - Explore data,XL,Critical,Unstable,,,,,,,,,,,,,,,
Post processing framework and UI,Workflow gaps,16,Post processing framework and UI,Data Exploration/Quality,,,,,,Antenna workflow overview - Explore data,L,Medium,Partially implemented,,,,,,,,,,,,,,,
Class masking,Workflow gaps,17,Class masking,Data Exploration/Quality,,,,,,Antenna workflow overview - Explore data,M,Medium,Partially implemented,,,,,,,,,,,,,,,
Rank roll-ups,Workflow gaps,18,Rank roll-ups,Data Exploration/Quality,,,,,,Antenna workflow overview - Explore data,L,Medium,Not implemented,,,,,,,,,,,,,,,
"See detections grouped as tracks (UI and data structures prepared, logic in progress)",Workflow gaps,19,"See detections grouped as tracks (UI and data structures prepared, logic in progress)",Data Exploration/Visualization,,,,,,Antenna workflow overview - Explore data,L,High,Partially implemented,,,,,,,,,,,,,,,
Extend the list of taxa when needed (Users have to reach out when taxa are missing),Workflow gaps,20,Extend the list of taxa when needed (Users have to reach out when taxa are missing),Data Validation/Taxa Management,,,,,,Antenna workflow overview - Validate data,L,Medium,Requires admin support,,,,,,,,,,,,,,,
Show evalutation stats while validating,Workflow gaps,21,Show evalutation stats while validating,Data Validation/Metrics,,,,,,Antenna workflow overview - Validate data,M,Low,Not implemented,,,,,,,,,,,,,,,
Configure overview stats for a project (Needs more information and user discussions),Workflow gaps,22,Configure overview stats for a project (Needs more information and user discussions),Data Visualization/Reporting,,,,,,Antenna workflow overview - General data visualisation from project,L,Medium,Not implemented,,,,,,,,,,,,,,,
See charts for troubleshooting (not analysis) (Needs more information and user discussions),Workflow gaps,23,See charts for troubleshooting (not analysis) (Needs more information and user discussions),Data Visualization/Troubleshooting,,,,,,Antenna workflow overview - General data visualisation from project,M,Medium,Partially implemented,,,,,,,,,,,,,,,
Export in DarwinCore format,Workflow gaps,24,Export in DarwinCore format,Data Download/Export,,,,,,Antenna workflow overview - Download data,L,High,Partially implemented,,,,,,,,,,,,,,,
Fix critical issues with processing service API (milestone #27),Monthly updates slidedeck,1,Fix critical issues with processing service API (milestone #27),Robustness/Processing Service,,,,,,"Slide 21 (Priorities for summer & fall), Slide 14 (Steps to fixing processing)",,,,,,,,,,,,,,,,,,
Implement Project Quick Start feature (MVP for auto-creating draft projects and processing data),Monthly updates slidedeck,2,Implement Project Quick Start feature (MVP for auto-creating draft projects and processing data),Data Management/Onboarding,,,,,,"Slide 21 (Priorities for summer & fall), Slide 4 (Themes for September), Slide 11 (Prototype of Quick Start feature)",,,,,,,,,,,,,,,,,,
"Improve presented prediction results (Filtering, good defaults, post-processing)",Monthly updates slidedeck,3,"Improve presented prediction results (Filtering, good defaults, post-processing)",ML Pipeline/Data Display,,,,,,"Slide 21 (Priorities for summer & fall), Slide 20 (Improving presented prediction results)",,,,,,,,,,,,,,,,,,
Develop a Data Uploader Tool (starting with CLI version),Monthly updates slidedeck,4,Develop a Data Uploader Tool (starting with CLI version),Data Management/Infrastructure,,,,,,"Slide 21 (Priorities for summer & fall), Slide 7 (October)",,,,,,,,,,,,,,,,,,
"Implement fine-grained Job Permissions based on job types (e.g., ML, export, sync)",Monthly updates slidedeck,5,"Implement fine-grained Job Permissions based on job types (e.g., ML, export, sync)",Public Availability/Permissions,,,,,,"Slide 34 (Mohamed - Job permissions), Slide 86 (Next steps for Permissions & Roles)",,,,,,,,,,,,,,,,,,
Create user interface for project managers to add new users and assign roles,Monthly updates slidedeck,6,Create user interface for project managers to add new users and assign roles,Public Availability/Permissions,,,,,,Slide 86 (Next steps for Permissions & Roles),,,,,,,,,,,,,,,,,,
Integrate Tracking and Feature Vectors to improve prediction results,Monthly updates slidedeck,7,Integrate Tracking and Feature Vectors to improve prediction results,ML Pipeline/Feature Development,,,,,,"Slide 20 (Improving presented prediction results), Slide 4 (Themes for September)",,,,,,,,,,,,,,,,,,
"Integrate Out-of-Distribution (OOD) features for data curation (tagging, moving occurrences between clusters)",Monthly updates slidedeck,8,"Integrate Out-of-Distribution (OOD) features for data curation (tagging, moving occurrences between clusters)",OOD/Data Curation/ML,,,,,,"Slide 38 (OOD UI update - Anna), Slide 37 (OOD TODO)",,,,,,,,,,,,,,,,,,
Add new frontend views like “My projects” and show multiple suggestions per classification,Monthly updates slidedeck,9,Add new frontend views like “My projects” and show multiple suggestions per classification,Frontend/Data Display,,,,,,"Slide 87 (Anna - February), Slide 65 (Anna - March)",,,,,,,,,,,,,,,,,,
Integrate an Order-Level Classifier with the option to replace the current binary classifier,Monthly updates slidedeck,10,Integrate an Order-Level Classifier with the option to replace the current binary classifier,ML Pipeline/Classification,,,,,,Slide 92 (Aditya - Order Level Classifier),,,,,,,,,,,,,,,,,,
Implement a Taxa List Filter and support Darwin Core Export Format,Monthly updates slidedeck,11,Implement a Taxa List Filter and support Darwin Core Export Format,Data Management/Exports,,,,,,"Slide 62 (Mohamed - March), Slide 5 (Topics for Aarhus)",,,,,,,,,,,,,,,,,,
"New sprint schedule: 3 weeks development, 1 week for documentation and planning",Monthly updates slidedeck,12,"New sprint schedule: 3 weeks development, 1 week for documentation and planning",Task/Process/Planning,,,,,,"Slide 21 (Priorities for summer & fall), Slide 78 (Francis - February)",,,,,,,,,,,,,,,,,,
Time for refactoring (switching to Next.js),Dev meeting planning tab only ,1,Time for refactoring (switching to Next.js),,,,,,,[Internal] Antenna Dev Team - Meeting Notes: Visions & wishes for 2026,,,,Technical/Frontend/Refactoring,,,,,,,,,,,,,,
Complete migration of UI components from raw Radix primitives to shadcn/ui,Dev meeting planning tab only ,2,Complete migration of UI components from raw Radix primitives to shadcn/ui,,,,,,,[Internal] Antenna Dev Team - Meeting Notes: Anna's FE wishlist,,,,Technical/Frontend/Refactoring,,,,,,,,,,,,,,
Complete migration from style modules to Tailwind CSS,Dev meeting planning tab only ,3,Complete migration from style modules to Tailwind CSS,,,,,,,[Internal] Antenna Dev Team - Meeting Notes: Anna's FE wishlist,,,,Technical/Frontend/Refactoring,,,,,,,,,,,,,,
Move UI kit back to Antenna repo (to reduce complexity),Dev meeting planning tab only ,4,Move UI kit back to Antenna repo (to reduce complexity),,,,,,,[Internal] Antenna Dev Team - Meeting Notes: Anna's FE wishlist,,,,Technical/Frontend/Architecture,,,,,,,,,,,,,,
Migrate to React 19,Dev meeting planning tab only ,5,Migrate to React 19,,,,,,,[Internal] Antenna Dev Team - Meeting Notes: Anna's FE wishlist,,,,Technical/Frontend/Refactoring,,,,,,,,,,,,,,
Migrate to Next.js (to simplify routing and code splitting),Dev meeting planning tab only ,6,Migrate to Next.js (to simplify routing and code splitting),,,,,,,[Internal] Antenna Dev Team - Meeting Notes: Anna's FE wishlist,,,,Technical/Frontend/Refactoring,,,,,,,,,,,,,,
Upgrade Node.js?,Dev meeting planning tab only ,7,Upgrade Node.js?,,,,,,,[Internal] Antenna Dev Team - Meeting Notes: Anna's FE wishlist,,,,Technical/Infrastructure,,,,,,,,,,,,,,
Split up backend modules,Dev meeting planning tab only ,8,Split up backend modules,,,,,,,[Internal] Antenna Dev Team - Meeting Notes: Dev Backlog,,,,Technical/Backend/Refactoring,,,,,,,,,,,,,,
DB Table partitions / Database Scaling,Dev meeting planning tab only ,9,DB Table partitions / Database Scaling,,,,,,,"[Internal] Antenna Dev Team - Meeting Notes: Dev Backlog, Michael's wishes",,,,Technical/Infrastructure/Performance,,,,,,,,,,,,,,
Processing stability / Processing v2,Dev meeting planning tab only ,10,Processing stability / Processing v2,,,,,,,"Antenna gaps - big picture, Lean Team Roadmap: Q1",,,,Technical/Processing/Bug Fix,,,,,,,,,,,,,,
Image resizing,Dev meeting planning tab only ,11,Image resizing,,,,,,,[Internal] Antenna Dev Team - Meeting Notes: Dev Backlog,,,,Technical/Processing/Performance,,,,,,,,,,,,,,
"Post processing functions (small, blurry, tracking sequential detections) / Reducing noise",Dev meeting planning tab only ,12,"Post processing functions (small, blurry, tracking sequential detections) / Reducing noise",,,,,,,"Antenna gaps - big picture, [Internal] Antenna Dev Team - Meeting Notes: Big features & topics",,,,ML/Post-processing/Feature,,,,,,,,,,,,,,
