proposed_horizon,category,description,mention_count,github_refs,status,status_notes,type,size,source_rows
next-6mo,Data-Management,Make sure the SD card is identify to see from which camera it came from,1,#242(CLOSED); #477(OPEN); #314(CLOSED); #455(OPEN); #931(CLOSED); PR#932(MERGED); PR#281(MERGED); #407(CLOSED); PR#689(MERGED); #977(OPEN),partial,"2 merged PR(s): #932, #281; 2 open: #477, #455; 4 closed: #242, #314",documentation,XS,200
next-6mo,Data-Management,Sync the SD cards every day to hardware 1 & 2,1,PR#909(MERGED); PR#379(MERGED); #879(OPEN); #878(OPEN); #687(OPEN); #562(OPEN); #640(CLOSED); #242(CLOSED); #455(OPEN); #477(OPEN),partial,"2 merged PR(s): #909, #379; 4 open: #879, #878, #687; 2 closed: #640, #242",documentation,XS,201
next-6mo,Data-Management,Sync to the cloud (Anna),1,PR#909(MERGED); PR#379(MERGED); #879(OPEN); #878(OPEN); #687(OPEN); #562(OPEN); #640(CLOSED); #242(CLOSED); #455(OPEN); #477(OPEN),partial,"2 merged PR(s): #909, #379; 4 open: #879, #878, #687; 2 closed: #640, #242",documentation,XS,207
next-6mo,Data-Management,Fresh SD cards,1,PR#909(MERGED); PR#379(MERGED); #879(OPEN); #878(OPEN); #687(OPEN); #562(OPEN); #640(CLOSED); #242(CLOSED); PR#1114(MERGED); PR#961(MERGED),partial,"2 merged PR(s): #909, #379; 4 open: #879, #878, #687; 2 closed: #640, #242",documentation,XS,210
next-6mo,Data-Management,Project ID required when changing name/tags of cluster,1,,untracked,No matching GitHub issues or PRs found,bug,S,219
next-6mo,Data-Management,Hide occurrences if missing detections,1,PR#818(MERGED); PR#765(MERGED); PR#596(MERGED); PR#815(MERGED); #706(CLOSED); #618(CLOSED); #473(OPEN); PR#181(MERGED); #985(CLOSED); PR#1091(MERGED),partial,"6 merged PR(s): #818, #765, #596; 1 open: #473; 3 closed: #706, #618",improvement,S,442
next-6mo,Data-Management,Non-timeseries data - Microscopy & field photos,1,#308(CLOSED); PR#186(MERGED); #625(OPEN); PR#781(MERGED); PR#1105(MERGED); PR#1055(MERGED); PR#1048(MERGED); PR#905(MERGED); PR#829(MERGED); PR#809(MERGED),partial,"8 merged PR(s): #186, #781, #1105; 1 open: #625; 1 closed: #308",feature,L,481
next-6mo,Data-Management,Use Google spreadsheets for collaborative updates to species lists and training data,1,PR#717(MERGED); #601(OPEN); #770(CLOSED); #907(OPEN); PR#184(MERGED); PR#661(MERGED); #755(OPEN); #864(CLOSED); PR#626(MERGED); PR#1067(MERGED),partial,"4 merged PR(s): #717, #184, #661; 3 open: #601, #907, #755; 2 closed: #770, #864",feature,M,533
next-6mo,Data-Management,Suggests classification of derived data: Detections -> Occurrences -> Species,1,PR#818(MERGED); PR#765(MERGED); PR#596(MERGED); PR#815(MERGED); #706(CLOSED); #618(CLOSED); #473(OPEN); PR#181(MERGED); #985(CLOSED); PR#1091(MERGED),partial,"6 merged PR(s): #818, #765, #596; 1 open: #473; 3 closed: #706, #618",improvement,M,540
next-6mo,Data-Management,Provide a more dynamic way to handle sessions and timestamps,1,#224(CLOSED); #237(OPEN); #906(OPEN); PR#1073(MERGED); PR#908(MERGED); PR#568(MERGED); PR#362(MERGED); #206(CLOSED); #1063(OPEN); #791(CLOSED),partial,"4 merged PR(s): #1073, #908, #568; 3 open: #237, #906, #1063; 3 closed: #224, #206",feature,M,546
next-6mo,Data-Management,Continue to maintain comprehensive capabilities for managing and analyzing large datasets,1,#730(OPEN); PR#1067(MERGED); PR#1043(MERGED); PR#895(MERGED); PR#897(MERGED); PR#896(MERGED); PR#800(MERGED); PR#636(MERGED); PR#598(MERGED); PR#375(MERGED),partial,"9 merged PR(s): #1067, #1043, #895; 1 open: #730",improvement,XL,547
next-6mo,Data-Management,Implement method for bulk updating of incorrect timestamps,1,#273(OPEN); #625(OPEN); #1107(OPEN); PR#1105(MERGED); PR#1055(MERGED); PR#1048(MERGED); PR#905(MERGED); PR#829(MERGED); PR#809(MERGED); PR#781(MERGED),partial,"7 merged PR(s): #1105, #1055, #1048; 3 open: #273, #625, #1107",feature,M,548
next-6mo,Data-Management,Develop dynamic session partitioning for better data visualization and analysis,1,PR#542(MERGED); #410(CLOSED); PR#401(MERGED); #273(OPEN); PR#189(MERGED); #399(CLOSED); PR#568(MERGED); PR#453(MERGED); PR#347(MERGED); PR#205(MERGED),partial,"3 merged PR(s): #542, #401, #189; 1 open: #273; 1 closed: #410",feature,L,555
next-6mo,Data-Management,Add context pictures of devices in the field,1,PR#325(MERGED); PR#333(MERGED); PR#1065(MERGED); PR#152(MERGED); #958(OPEN); #304(OPEN); PR#1068(MERGED); PR#1002(MERGED); PR#690(MERGED); PR#492(MERGED),partial,"8 merged PR(s): #325, #333, #1065; 2 open: #958, #304",feature,M,563
next-6mo,Data-Management,Possibility of shorter deployments,1,#413(OPEN); #446(OPEN); #400(CLOSED); PR#690(MERGED); PR#158(MERGED); #611(OPEN); #304(OPEN); #258(OPEN); PR#1068(MERGED); PR#1065(MERGED),partial,"4 merged PR(s): #690, #158, #1068; 5 open: #413, #446, #611; 1 closed: #400",improvement,S,564
next-6mo,Data-Management,Continue to maintain the ability to add and edit information about devices and deployments,1,#413(OPEN); #446(OPEN); #400(CLOSED); #714(OPEN); PR#690(MERGED); PR#325(MERGED); PR#333(MERGED); #304(OPEN); PR#1065(MERGED); PR#152(MERGED),partial,"5 merged PR(s): #690, #325, #333; 4 open: #413, #446, #714; 1 closed: #400",improvement,M,567
next-6mo,Data-Management,Continue to maintain filename format check for manual uploads,1,PR#909(MERGED); PR#379(MERGED); #879(OPEN); #878(OPEN); #687(OPEN); #562(OPEN); #640(CLOSED); #242(CLOSED); PR#1114(MERGED); PR#961(MERGED),partial,"2 merged PR(s): #909, #379; 4 open: #879, #878, #687; 2 closed: #640, #242",improvement,S,605
next-6mo,Data-Management,Importing already-processed data into Antenna,1,PR#203(MERGED); #622(CLOSED); PR#838(MERGED); PR#292(MERGED); #998(CLOSED); #796(CLOSED); #393(CLOSED); #703(CLOSED); #984(CLOSED); #625(OPEN),partial,"3 merged PR(s): #203, #838, #292; 1 open: #625; 6 closed: #622, #998",feature,L,668
next-6mo,Data-Management,Tags for occurrences,1,PR#608(MERGED); #682(CLOSED); PR#861(MERGED); #865(OPEN); #570(OPEN); #991(CLOSED); #541(CLOSED); PR#1038(MERGED); PR#359(MERGED); #298(OPEN),partial,"4 merged PR(s): #608, #861, #1038; 3 open: #865, #570, #298; 3 closed: #682, #991",feature,M,700
next-6mo,Data-Management,Missing images,1,,untracked,No matching GitHub issues or PRs found,bug,S,709
next-6mo,Data-Management,Data management issues (rotated images/missing metadata/bad data),1,,untracked,No matching GitHub issues or PRs found,bug,M,716
next-6mo,Data-Management,Will we always require collections for processing?,1,#451(OPEN); PR#636(MERGED); #730(OPEN); #716(CLOSED); #297(CLOSED); PR#375(MERGED); PR#300(MERGED); PR#1067(MERGED); PR#283(MERGED); PR#800(MERGED),partial,"6 merged PR(s): #636, #375, #300; 2 open: #451, #730; 2 closed: #716, #297",research,S,832
next-6mo,Data-Management,Occurrence collections,1,#763(OPEN); #509(OPEN); PR#184(MERGED); PR#598(MERGED); PR#818(MERGED); PR#604(MERGED); #745(CLOSED); PR#613(MERGED); #864(CLOSED); PR#1058(MERGED),partial,"4 merged PR(s): #184, #598, #818; 2 open: #763, #509; 1 closed: #745",feature,M,833
next-6mo,Data-Management,Predefined collections / Dynamic presets,1,PR#636(MERGED); #730(OPEN); #716(CLOSED); #297(CLOSED); PR#375(MERGED); PR#300(MERGED); #451(OPEN); PR#1067(MERGED); PR#283(MERGED); PR#800(MERGED),partial,"6 merged PR(s): #636, #375, #300; 2 open: #730, #451; 2 closed: #716, #297",feature,M,834
next-6mo,DevEx,Browser-based regression / integration tests (Cypress/Playwright),2,#852(OPEN); #708(OPEN); PR#586(MERGED); PR#675(MERGED); PR#835(MERGED); PR#647(MERGED); #749(CLOSED); #667(CLOSED); #377(OPEN); PR#980(MERGED),partial,"5 merged PR(s): #586, #675, #835; 3 open: #852, #708, #377; 2 closed: #749, #667",feature,L,"358, 769"
next-6mo,DevEx,"New sprint schedule: 3 weeks development, 1 week for documentation and planning",1,,untracked,No matching GitHub issues or PRs found,improvement,XS,320
next-6mo,DevEx,"More full stack dev, easier integration from ML experiments to platform",1,#504(OPEN); #816(OPEN); PR#835(MERGED); PR#647(MERGED); #749(CLOSED); #667(CLOSED); #377(OPEN); PR#980(MERGED); PR#675(MERGED); PR#666(MERGED),partial,"5 merged PR(s): #835, #647, #980; 3 open: #504, #816, #377; 2 closed: #749, #667",improvement,L,394
next-6mo,DevEx,"Inference page for easily testing all models (without project setup, etc)",1,#533(CLOSED); #708(OPEN); PR#675(MERGED); PR#980(MERGED); #816(OPEN); PR#835(MERGED); PR#647(MERGED); #749(CLOSED); #667(CLOSED); #377(OPEN),partial,"4 merged PR(s): #675, #980, #835; 3 open: #708, #816, #377; 3 closed: #533, #749",feature,M,406
next-6mo,DevEx,Dedicated interface for testing models (e.g. using Streamlit or Solara),1,#708(OPEN); #816(OPEN); PR#980(MERGED); PR#835(MERGED); PR#647(MERGED); #749(CLOSED); #667(CLOSED); #377(OPEN); PR#675(MERGED); PR#666(MERGED),partial,"5 merged PR(s): #980, #835, #647; 3 open: #708, #816, #377; 2 closed: #749, #667",feature,L,629
next-6mo,DevEx,Streamline form handling across app,1,#254(CLOSED); PR#74(MERGED); #1106(OPEN); #317(OPEN); PR#929(MERGED); PR#448(MERGED); #336(CLOSED); #260(OPEN); #834(OPEN),partial,"3 merged PR(s): #74, #929, #448; 2 open: #1106, #317; 1 closed: #254",improvement,M,767
next-6mo,Documentation,Configure pipelines for a project (Needs documentation),3,,untracked,No matching GitHub items found,documentation,M,"291, 292, 786"
next-6mo,Documentation,Documentation of how to re-train a model with data from Antenna,3,,untracked,No matching GitHub items found,documentation,M,"364, 789, 852"
next-6mo,Documentation,"Needs documentation for configuring processing services, pipelines, storage, and data source",3,,untracked,No matching GitHub items found,documentation,M,"365, 518, 674"
next-6mo,Documentation,Research & document plan for easier data import from cameras/SD cards,3,,untracked,No matching GitHub items found,research,M,"649, 746, 851"
next-6mo,Documentation,Documentation for reviewing,2,,untracked,No matching GitHub items found,documentation,L,"107, 418"
next-6mo,Documentation,Link to documentation (and write documentation!) / Documentation Sprint,2,,untracked,No matching GitHub items found,documentation,L,"362, 783"
next-6mo,Documentation,Use LLM to help with the table of contents for documentation,2,,untracked,No matching GitHub items found,improvement,S,"363, 782"
next-6mo,Documentation,Documentation - for users (user guide) and developers,2,,untracked,No matching GitHub items found,documentation,L,"781, 811"
next-6mo,Documentation,Configure processing services for a project (Needs documentation),2,,untracked,No matching GitHub items found,documentation,S,"785, 787"
next-6mo,Documentation,Clarify/flesh out what processing means when a collection is launched,1,,untracked,No matching GitHub items found,documentation,S,23
next-6mo,Documentation,Provide more guidance/documentation on collections (definition purpose how to use strategy),1,,untracked,No matching GitHub items found,documentation,S,44
next-6mo,Documentation,Prioritize documentation for the verification process,1,,untracked,No matching GitHub items found,documentation,M,49
next-6mo,Documentation,Create logic diagrams for new & existing features,1,,untracked,No matching GitHub items found,documentation,M,113
next-6mo,Documentation,Add megadector-> butterflies example.,1,,untracked,No matching GitHub items found,documentation,S,117
next-6mo,Documentation,Complete documentation & improving self-service,1,,untracked,No matching GitHub items found,documentation,L,143
next-6mo,Documentation,Antenna workflow/requirements,1,,untracked,No matching GitHub items found,documentation,M,153
next-6mo,Documentation,One good case study.,1,,untracked,No matching GitHub items found,documentation,M,165
next-6mo,Documentation,Exporting data & updating the offline guide,1,,untracked,No matching GitHub items found,documentation,S,208
next-6mo,Documentation,Configure a data source for a station,1,#1047(OPEN),tracked,Tracked in #1047,documentation,M,293
next-6mo,Documentation,Setup a collection of captures,1,,untracked,No matching GitHub items found,documentation,S,296
next-6mo,Documentation,Requirements doc - Mapping the pipeline - Documentation for internal use - Showing where the gaps are in the steps,1,,untracked,No matching GitHub items found,documentation,L,381
next-6mo,Documentation,Documentation - first for internal then for public,1,,untracked,No matching GitHub items found,documentation,L,383
next-6mo,Documentation,"Training support team documentation/videos (Public/Private Wiki, User Manual)",1,,untracked,No matching GitHub items found,documentation,L,517
next-6mo,Documentation,Clarify that collections are fixed queries until recalculation,1,,untracked,No matching GitHub items found,documentation,XS,534
next-6mo,Documentation,Clarify confirmation of moth presence over multiple days,1,,untracked,No matching GitHub items found,documentation,XS,539
next-6mo,Documentation,Clarify confusion about data flow and image processing integration,1,,untracked,No matching GitHub items found,documentation,S,543
next-6mo,Documentation,Emphasize importance of proving data origin,1,,untracked,No matching GitHub items found,documentation,XS,549
next-6mo,Documentation,Assumption of manual entry for first & last date,1,,untracked,No matching GitHub items found,documentation,XS,560
next-6mo,Documentation,Clarify device and deployment hierarchies with diagrams or text explanations,1,,untracked,No matching GitHub items found,documentation,S,573
next-6mo,Documentation,Create Wiki manual with specific process notes,1,,untracked,No matching GitHub items found,documentation,L,575
next-6mo,Documentation,Confusion about implications of renaming folders and files within the object store,1,,untracked,No matching GitHub items found,documentation,XS,577
next-6mo,Documentation,Suggest avoiding spaces in folder names for better compatibility,1,,untracked,No matching GitHub items found,documentation579,XS,578
next-6mo,Documentation,Provide instructions for uploading large batches of images using Cyberduck,1,,untracked,No matching GitHub items found,documentation,XS,602
next-6mo,Documentation,Circle back to OpenAPI docs to allow researchers to query occurrences in R,1,,untracked,No matching GitHub items found,documentation,M,637
next-6mo,Documentation,More inline help for users,1,,untracked,No matching GitHub items found,improvement,M,696
next-6mo,Documentation,New home for Antenna docs!,1,,untracked,No matching GitHub items found,improvement,S,718
next-6mo,Documentation,At least one documentation ticket,1,,untracked,No matching GitHub items found,documentation,XS,720
next-6mo,Documentation,Configure processing services/pipelines,1,,untracked,No matching GitHub items found,documentation,S,721
next-6mo,Documentation,Configure a storage/data source,1,,untracked,No matching GitHub items found,documentation,S,722
next-6mo,Documentation,Demonstration for self-installation,1,,untracked,No matching GitHub items found,documentation,M,723
next-6mo,Documentation,RUNNING ANTENNA LOCALLY,1,,untracked,No matching GitHub items found,documentation,S,724
next-6mo,Documentation,Make an instructions file about the frontend overall,1,,untracked,No matching GitHub items found,documentation,S,763
next-6mo,Documentation,Configure a data source for a station (Needs documentation),1,,untracked,No matching GitHub items found,documentation,S,788
next-6mo,Documentation,Documentation & doc links within app,1,,untracked,No matching GitHub items found,improvement,M,829
next-6mo,Export/Interop,Darwincore export and Export format for ML retraining,8,#298(OPEN),tracked,Tracked in #298,feature,L,"308, 342, 343, 648, 750, 751, 849, 850"
next-6mo,Export/Interop,Exporting data (General Topic),1,,untracked,No matching GitHub items found,feature,L,75
next-6mo,Export/Interop,API (General Topic),1,,untracked,No matching GitHub items found,improvement,L,78
next-6mo,Export/Interop,Exports,1,,untracked,No matching GitHub items found,feature,L,94
next-6mo,Export/Interop,Data access for fine-tuning - ML research,1,,untracked,No matching GitHub items found,feature,M,175
next-6mo,Export/Interop,Data Exports: Darwin Core for biologists and bioinformatics people,1,,untracked,No matching GitHub items found,feature,M,182
next-6mo,Export/Interop,Data Exports: COCO/YOLO formats for re-training purposes (ML researchers),1,,untracked,No matching GitHub items found,feature,M,183
next-6mo,Export/Interop,Implement a Taxa List Filter and support Darwin Core Export Format,1,#298(OPEN); PR#951(MERGED); #720(CLOSED),partial,"Partially implemented in PR #951, additional work tracked in #298",feature,M,319
next-6mo,Export/Interop,Implement export options,1,,untracked,No matching GitHub items found,feature,M,542
next-6mo,Export/Interop,Replicate desktop/offline version export options,1,,untracked,No matching GitHub items found,feature,M,576
next-6mo,Export/Interop,Provide easier method to export and organize cropped images hierarchically by taxonomy,1,,untracked,No matching GitHub items found,feature,M,592
next-6mo,Export/Interop,Add missing fields related to images when exporting to CSV,1,,untracked,No matching GitHub items found,feature,S,660
next-6mo,Export/Interop,Download X amount of photos for a species list with high confidence,1,#933(OPEN),tracked,Tracked in #933,feature,S,663
next-6mo,Export/Interop,New export format geared toward ML with previous predictions/corrected IDs,1,,untracked,No matching GitHub items found,feature,M,667
next-6mo,Export/Interop,Exports to DARWIN core,1,,untracked,No matching GitHub items found,feature,M,680
next-6mo,Export/Interop,Export Formats (Darwin Core/COCO/YOLO formats),1,,untracked,No matching GitHub items found,feature,M,800
next-6mo,Infrastructure,"Optimization features & ""hardening"" (including Image resizing)",3,#236(OPEN); PR#348(MERGED); #419(OPEN); #729(OPEN),partial,1 merged PR(s): #348; 1 open: #236,feature,L,"331, 516, 761"
next-6mo,Infrastructure,Bug: Increase capacity of the database in the OOD environment,2,PR#506(MERGED); #900(CLOSED); PR#860(MERGED); #776(CLOSED); #411(CLOSED); #1097(OPEN); PR#380(MERGED); #239(CLOSED); #413(OPEN); #410(CLOSED),partial,"3 merged PR(s): #506, #860, #380; 1 open: #1097; 4 closed: #900, #776",improvement,M,"220, 430"
next-6mo,Infrastructure,DB Table partitions (Partitioning/Database Scaling/Optimization),2,PR#506(MERGED); #776(CLOSED); #1097(OPEN); #900(CLOSED); PR#380(MERGED); PR#860(MERGED); #411(CLOSED); #239(CLOSED); #607(CLOSED); PR#429(MERGED),partial,"3 merged PR(s): #506, #380, #860; 1 open: #1097; 4 closed: #776, #900",improvement,XL,"329, 755"
next-6mo,Infrastructure,Background job system logging per job,1,PR#303(MERGED); #404(CLOSED); PR#1060(MERGED); #370(CLOSED); PR#268(MERGED); PR#919(MERGED); #922(OPEN); PR#368(MERGED); #633(CLOSED); #1117(OPEN),partial,"5 merged PR(s): #303, #1060, #268; 2 open: #922, #1117; 3 closed: #404, #370",feature,M,91
next-6mo,Infrastructure,Speed up deployments list?,1,#413(OPEN); #446(OPEN); #307(OPEN); PR#690(MERGED); PR#333(MERGED); #611(OPEN); #304(OPEN); #258(OPEN); PR#1065(MERGED); PR#1002(MERGED),partial,"4 merged PR(s): #690, #333, #1065; 6 open: #413, #446, #307",improvement,M,116
next-6mo,Infrastructure,Upload data to the storage (desktop app) (Currently happens outside Antenna using tools like Cyberduck),1,PR#987(MERGED); #1123(OPEN); PR#201(MERGED); PR#231(MERGED); PR#76(MERGED); PR#79(MERGED); PR#146(MERGED); #640(CLOSED); #593(OPEN); #259(CLOSED),partial,1 merged PR(s): #987; 1 open: #1123,feature,XL,294
next-6mo,Infrastructure,Run an XL ML job (VISS project),1,PR#1060(MERGED); #922(OPEN); PR#303(MERGED); #404(CLOSED); #370(CLOSED); PR#268(MERGED); PR#919(MERGED); PR#368(MERGED); #1117(OPEN); PR#1046(MERGED),partial,"6 merged PR(s): #1060, #303, #268; 2 open: #922, #1117; 2 closed: #404, #370",feature,XL,298
next-6mo,Infrastructure,Time for refactoring (switching to Next.js),1,PR#179(MERGED); #1010(OPEN); #723(CLOSED); PR#1055(MERGED); PR#1048(MERGED); PR#778(MERGED); PR#704(MERGED); #1122(OPEN); #1107(OPEN); #398(OPEN),partial,1 merged PR(s): #179; 1 open: #1010,improvement,XL,321
next-6mo,Infrastructure,Migrate to React 19,1,#1010(OPEN); #999(OPEN); PR#179(MERGED),partial,"1 merged PR(s): #179; 2 open: #1010, #999",improvement,M,325
next-6mo,Infrastructure,Migrate to Next.js (to simplify routing and code splitting),1,#1010(OPEN); #999(OPEN); PR#179(MERGED),partial,"1 merged PR(s): #179; 2 open: #1010, #999",improvement,XL,326
next-6mo,Infrastructure,"Multiple environments and auto deployment (Dev, Staging, Branch deploys, Demo, Production)",1,#648(OPEN); PR#492(MERGED); PR#422(MERGED); PR#152(MERGED); #344(CLOSED); PR#367(MERGED); PR#353(MERGED); PR#230(MERGED); #1088(OPEN); #714(OPEN),partial,"6 merged PR(s): #492, #422, #152; 3 open: #648, #1088, #714; 1 closed: #344",improvement,L,360
next-6mo,Infrastructure,"Focus on portability, quick install, cloud & local",1,#1069(CLOSED); PR#1060(MERGED); PR#1046(MERGED); PR#554(MERGED); #1072(CLOSED); #782(CLOSED); #633(CLOSED); #370(CLOSED); #1117(OPEN); #1025(OPEN),partial,"3 merged PR(s): #1060, #1046, #554; 2 open: #1117, #1025; 5 closed: #1069, #1072",improvement,L,375
next-6mo,Infrastructure,Improving image quality of cameras,1,#446(OPEN); PR#353(MERGED); #344(CLOSED); #207(CLOSED); PR#1065(MERGED); PR#1002(MERGED); PR#690(MERGED); PR#492(MERGED); PR#422(MERGED); PR#367(MERGED),partial,"7 merged PR(s): #353, #1065, #1002; 1 open: #446; 2 closed: #344, #207",improvement,M,389
next-6mo,Infrastructure,Script to fix date offsets,1,PR#778(MERGED); PR#1055(MERGED); PR#1048(MERGED); PR#704(MERGED); #1122(OPEN); #1107(OPEN); #398(OPEN); #723(CLOSED); #1124(OPEN); PR#854(MERGED),partial,"5 merged PR(s): #778, #1055, #1048; 4 open: #1122, #1107, #398; 1 closed: #723",improvement,S,457
next-6mo,Infrastructure,Registration of pipelines (Self-service feature remaining),1,#912(OPEN); #1011(OPEN); #695(CLOSED); #259(CLOSED); PR#949(MERGED); PR#784(MERGED); PR#738(MERGED); PR#722(MERGED); PR#576(MERGED); #539(OPEN),partial,"5 merged PR(s): #949, #784, #738; 3 open: #912, #1011, #539; 2 closed: #695, #259",feature,M,491
next-6mo,Infrastructure,Model Registry & Available Pipelines (Registry for models & ML backends),1,#532(OPEN); #912(OPEN); #695(CLOSED); PR#738(MERGED); #259(CLOSED); #1011(OPEN); PR#949(MERGED); PR#784(MERGED); PR#722(MERGED); PR#576(MERGED),partial,"5 merged PR(s): #738, #949, #784; 3 open: #532, #912, #1011; 2 closed: #695, #259",feature,L,495
next-6mo,Infrastructure,"Speed/Performance (Top priority, scaling up processing)",1,#411(CLOSED); #239(CLOSED); PR#380(MERGED); #900(CLOSED); #776(CLOSED); #1097(OPEN); PR#860(MERGED); PR#506(MERGED); #410(CLOSED); #749(CLOSED),partial,"3 merged PR(s): #380, #860, #506; 1 open: #1097; 4 closed: #411, #239",improvement,XL,513
next-6mo,Infrastructure,Stable production environment with automated backups & good performance,1,#900(CLOSED); #685(CLOSED); #411(CLOSED); #239(CLOSED); PR#506(MERGED); PR#380(MERGED); #776(CLOSED); #1097(OPEN); PR#860(MERGED); #410(CLOSED),partial,"3 merged PR(s): #506, #380, #860; 1 open: #1097; 6 closed: #900, #685",improvement,L,514
next-6mo,Infrastructure,Scaling up infrastructure (robustness),1,PR#380(MERGED); #900(CLOSED); #776(CLOSED); #1097(OPEN); PR#860(MERGED); PR#506(MERGED); #411(CLOSED); #239(CLOSED); PR#429(MERGED); PR#422(MERGED),partial,"3 merged PR(s): #380, #860, #506; 1 open: #1097; 4 closed: #900, #776",improvement,XL,515
next-6mo,Infrastructure,Setup vector database,1,#776(CLOSED); PR#506(MERGED); #1097(OPEN); #900(CLOSED); PR#380(MERGED); PR#860(MERGED); #411(CLOSED); #239(CLOSED); #607(CLOSED); PR#228(MERGED),partial,"3 merged PR(s): #506, #380, #860; 1 open: #1097; 4 closed: #776, #900",feature,M,521
next-6mo,Infrastructure,Work on integration structure of models and training data,1,PR#202(MERGED); #1089(OPEN); #226(CLOSED); PR#112(MERGED); PR#111(MERGED); PR#921(MERGED); PR#835(MERGED); PR#647(MERGED); #749(CLOSED); #667(CLOSED),partial,"6 merged PR(s): #202, #112, #111; 1 open: #1089; 3 closed: #226, #749",improvement,L,523
next-6mo,Infrastructure,Fix initial difficulty with configuring Amazon S3 settings,1,,untracked,No matching GitHub issues or PRs found,bug,M,538
next-6mo,Infrastructure,Enable remote data transfer from isolated northern deployments,1,#307(OPEN); #413(OPEN); #446(OPEN); #439(OPEN); PR#690(MERGED); PR#333(MERGED); #611(OPEN); #258(OPEN); PR#367(MERGED); #304(OPEN),partial,"3 merged PR(s): #690, #333, #367; 7 open: #307, #413, #446",feature,M,554
next-6mo,Infrastructure,Fix slower image loading,1,,untracked,No matching GitHub issues or PRs found,bug,S,594
next-6mo,Infrastructure,Fix very slow image loading,1,,untracked,No matching GitHub issues or PRs found,bug,S,595
next-6mo,Infrastructure,Increase image resolution threshold to accommodate high-resolution images,1,PR#1055(MERGED); PR#1048(MERGED); PR#778(MERGED); PR#704(MERGED); #1122(OPEN); #1107(OPEN); #398(OPEN); #723(CLOSED); #1124(OPEN); PR#854(MERGED),partial,"5 merged PR(s): #1055, #1048, #778; 4 open: #1122, #1107, #398; 1 closed: #723",feature,S,599
next-6mo,Infrastructure,Note on slow overall internet affecting performance,1,#411(CLOSED); #239(CLOSED); PR#380(MERGED); #900(CLOSED); #776(CLOSED); #1097(OPEN); PR#860(MERGED); PR#506(MERGED); #410(CLOSED); #749(CLOSED),partial,"3 merged PR(s): #380, #860, #506; 1 open: #1097; 4 closed: #411, #239",research,S,614
next-6mo,Infrastructure,Stability issues on the platform,1,,untracked,No matching GitHub issues or PRs found,bug,L,627
next-6mo,Infrastructure,DB partitioning exploration and implementation,1,#900(CLOSED); PR#380(MERGED); #776(CLOSED); #1097(OPEN); PR#860(MERGED); PR#506(MERGED); #411(CLOSED); #239(CLOSED); PR#429(MERGED); PR#422(MERGED),partial,"3 merged PR(s): #380, #860, #506; 1 open: #1097; 4 closed: #900, #776",improvement,L,634
next-6mo,Infrastructure,Support for web-connected devices (continuous upload & processing),1,#477(OPEN); #455(OPEN); #904(OPEN); PR#281(MERGED); #977(OPEN); PR#898(MERGED); #958(OPEN); #611(OPEN); #304(OPEN); PR#1065(MERGED),partial,"1 merged PR(s): #281; 4 open: #477, #455, #904",feature,L,658
next-6mo,Infrastructure,IMAGE THUMBNAILING - Faster scrubbing (mp4s),1,#236(OPEN); PR#348(MERGED); #419(OPEN); #729(OPEN),partial,1 merged PR(s): #348; 1 open: #236,improvement,M,690
next-6mo,Infrastructure,Switch from form data to application/json,1,PR#146(MERGED); PR#688(MERGED); PR#201(MERGED); PR#79(MERGED); PR#76(MERGED); #543(OPEN); PR#448(MERGED); PR#266(MERGED); PR#231(MERGED); #593(OPEN),partial,"8 merged PR(s): #146, #688, #201; 2 open: #543, #593",improvement,S,711
next-6mo,ML/AI,More informative confidence scores (calibrated scores),2,PR#607(CLOSED); #357(CLOSED); PR#1029(MERGED); PR#944(MERGED); PR#840(MERGED); PR#837(MERGED); PR#814(MERGED); PR#620(MERGED); PR#613(MERGED); PR#603(MERGED),partial,Supporting infrastructure in place (10 related PRs merged),improvement,M,"176, 506"
next-6mo,ML/AI,Display species lists known by each model,1,PR#999(OPEN); #915(OPEN); PR#573(MERGED); PR#984(CLOSED),partial,Supporting infrastructure in place (1 related PRs merged),feature,S,12
next-6mo,ML/AI,Expose more details about each pipeline (ID URL version) in customizable pipelines feature,1,PR#680(CLOSED); #677(CLOSED); #309(CLOSED); PR#1117(OPEN); #1076(OPEN); PR#1011(OPEN); #992(OPEN); #916(OPEN); PR#1053(MERGED); PR#1046(MERGED),partial,Supporting infrastructure in place (24 related PRs merged),feature,S,30
next-6mo,ML/AI,Add active/inactive field for pipelines show inactive pipelines below and make them unselectable for new data processing,1,#677(CLOSED); #309(CLOSED); PR#1117(OPEN); #1076(OPEN); PR#1011(OPEN); #992(OPEN); #916(OPEN); PR#1053(MERGED); PR#1046(MERGED); PR#1041(MERGED),partial,Supporting infrastructure in place (24 related PRs merged),feature,S,31
next-6mo,ML/AI,Make Access Key for pipelines visible (not a password field),1,PR#1046(MERGED); PR#921(MERGED); PR#1035(OPEN); PR#964(OPEN); PR#880(OPEN); PR#1117(OPEN); #1110(OPEN); PR#1101(OPEN); #1097(OPEN); PR#1096(OPEN),partial,Supporting infrastructure in place (34 related PRs merged),improvement,XS,32
